name                                     time/op
_Chan_NumWriters1_InputSize600-8          23.4µs ± 1%
_ZenQ_NumWriters1_InputSize600-8          17.8µs ± 1%
_Chan_NumWriters3_InputSize60000-8        5.48ms ± 2%
_ZenQ_NumWriters3_InputSize60000-8        2.65ms ± 5%
_Chan_NumWriters8_InputSize6000000-8       684ms ± 1%
_ZenQ_NumWriters8_InputSize6000000-8       251ms ± 5%
_Chan_NumWriters100_InputSize6000000-8     1.57s ± 6%
_ZenQ_NumWriters100_InputSize6000000-8     300ms ± 4%
_Chan_NumWriters1000_InputSize7000000-8    1.97s ± 1%
_ZenQ_NumWriters1000_InputSize7000000-8    411ms ± 3%
_Chan_Million_Blocking_Writers-8           10.6s ± 1%
_ZenQ_Million_Blocking_Writers-8           1.99s ±19%

name                                     alloc/op
_Chan_NumWriters1_InputSize600-8           0.00B
_ZenQ_NumWriters1_InputSize600-8           0.00B
_Chan_NumWriters3_InputSize60000-8          108B ±64%
_ZenQ_NumWriters3_InputSize60000-8        27.5B ±111%
_Chan_NumWriters8_InputSize6000000-8       818B ±248%
_ZenQ_NumWriters8_InputSize6000000-8       545B ±175%
_Chan_NumWriters100_InputSize6000000-8    44.9kB ±34%
_ZenQ_NumWriters100_InputSize6000000-8   2.15kB ±210%
_Chan_NumWriters1000_InputSize7000000-8    481kB ± 8%
_ZenQ_NumWriters1000_InputSize7000000-8    771B ±354%
_Chan_Million_Blocking_Writers-8           553MB ± 0%
_ZenQ_Million_Blocking_Writers-8           122MB ± 3%

name                                     allocs/op
_Chan_NumWriters1_InputSize600-8            0.00
_ZenQ_NumWriters1_InputSize600-8            0.00
_Chan_NumWriters3_InputSize60000-8          0.00
_ZenQ_NumWriters3_InputSize60000-8          0.00
_Chan_NumWriters8_InputSize6000000-8       2.37 ±238%
_ZenQ_NumWriters8_InputSize6000000-8       1.66 ±202%
_Chan_NumWriters100_InputSize6000000-8       162 ±19%
_ZenQ_NumWriters100_InputSize6000000-8     4.87 ±229%
_Chan_NumWriters1000_InputSize7000000-8    1.77k ± 5%
_ZenQ_NumWriters1000_InputSize7000000-8    1.73 ±362%
_Chan_Million_Blocking_Writers-8           2.00M ± 0%
_ZenQ_Million_Blocking_Writers-8           1.00M ± 0%
