name                                     time/op
_Chan_NumWriters1_InputSize600-8          23.3µs ± 0%
_ZenQ_NumWriters1_InputSize600-8          17.7µs ± 1%
_Chan_NumWriters3_InputSize60000-8        5.42ms ± 7%
_ZenQ_NumWriters3_InputSize60000-8        2.60ms ± 1%
_Chan_NumWriters8_InputSize6000000-8       687ms ± 1%
_ZenQ_NumWriters8_InputSize6000000-8       243ms ± 5%
_Chan_NumWriters100_InputSize6000000-8     1.60s ± 2%
_ZenQ_NumWriters100_InputSize6000000-8     295ms ± 3%
_Chan_NumWriters1000_InputSize7000000-8    1.97s ± 0%
_ZenQ_NumWriters1000_InputSize7000000-8    404ms ± 3%
_Chan_Million_Blocking_Writers-8           8.02s ±33%
_ZenQ_Million_Blocking_Writers-8           1.71s ±17%

name                                     alloc/op
_Chan_NumWriters1_InputSize600-8           0.00B
_ZenQ_NumWriters1_InputSize600-8           0.00B
_Chan_NumWriters3_InputSize60000-8          101B ±65%
_ZenQ_NumWriters3_InputSize60000-8        28.1B ±113%
_Chan_NumWriters8_InputSize6000000-8       891B ±191%
_ZenQ_NumWriters8_InputSize6000000-8       664B ±163%
_Chan_NumWriters100_InputSize6000000-8    43.1kB ±40%
_ZenQ_NumWriters100_InputSize6000000-8   2.75kB ±154%
_Chan_NumWriters1000_InputSize7000000-8    483kB ± 4%
_ZenQ_NumWriters1000_InputSize7000000-8    554B ±626%
_Chan_Million_Blocking_Writers-8           553MB ± 0%
_ZenQ_Million_Blocking_Writers-8           124MB ± 3%

name                                     allocs/op
_Chan_NumWriters1_InputSize600-8            0.00
_ZenQ_NumWriters1_InputSize600-8            0.00
_Chan_NumWriters3_InputSize60000-8          0.00
_ZenQ_NumWriters3_InputSize60000-8          0.00
_Chan_NumWriters8_InputSize6000000-8       2.83 ±147%
_ZenQ_NumWriters8_InputSize6000000-8       1.48 ±237%
_Chan_NumWriters100_InputSize6000000-8       156 ±27%
_ZenQ_NumWriters100_InputSize6000000-8     6.23 ±157%
_Chan_NumWriters1000_InputSize7000000-8    1.78k ± 4%
_ZenQ_NumWriters1000_InputSize7000000-8    1.54 ±550%
_Chan_Million_Blocking_Writers-8           2.00M ± 0%
_ZenQ_Million_Blocking_Writers-8           1.00M ± 0%
