goos: windows
goarch: amd64
cpu: AMD Ryzen 7 5800H with Radeon Graphics
16 cores

name                                      time/op
_Chan_NumWriters1_InputSize600-16         24.5µs ± 5%
_ZenQ_NumWriters1_InputSize600-16         17.7µs ± 2%
_Chan_NumWriters3_InputSize60000-16       4.75ms ± 3%
_ZenQ_NumWriters3_InputSize60000-16       1.86ms ± 1%
_Chan_NumWriters8_InputSize6000000-16      800ms ± 5%
_ZenQ_NumWriters8_InputSize6000000-16      150ms ± 1%
_Chan_NumWriters100_InputSize6000000-16    1.66s ± 1%
_ZenQ_NumWriters100_InputSize6000000-16    160ms ± 1%
_Chan_NumWriters1000_InputSize7000000-16   1.95s ± 1%
_ZenQ_NumWriters1000_InputSize7000000-16   269ms ± 1%
_Chan_Million_Blocking_Writers-16          5.79s ± 2%
_ZenQ_Million_Blocking_Writers-16          1.37s ± 6%

name                                      alloc/op
_Chan_NumWriters1_InputSize600-16          0.00B
_ZenQ_NumWriters1_InputSize600-16          0.00B
_Chan_NumWriters3_InputSize60000-16         150B ±57%
_ZenQ_NumWriters3_InputSize60000-16       20.6B ±201%
_Chan_NumWriters8_InputSize6000000-16      472B ±283%
_ZenQ_NumWriters8_InputSize6000000-16     1.05kB ±58%
_Chan_NumWriters100_InputSize6000000-16   43.7kB ±38%
_ZenQ_NumWriters100_InputSize6000000-16   29.7kB ±17%
_Chan_NumWriters1000_InputSize7000000-16   484kB ± 7%
_ZenQ_NumWriters1000_InputSize7000000-16   120kB ±14%
_Chan_Million_Blocking_Writers-16          553MB ± 0%
_ZenQ_Million_Blocking_Writers-16          128MB ± 4%

name                                      allocs/op
_Chan_NumWriters1_InputSize600-16           0.00
_ZenQ_NumWriters1_InputSize600-16           0.00
_Chan_NumWriters3_InputSize60000-16         0.00
_ZenQ_NumWriters3_InputSize60000-16         0.00
_Chan_NumWriters8_InputSize6000000-16      2.00 ±150%
_ZenQ_NumWriters8_InputSize6000000-16       3.90 ±28%
_Chan_NumWriters100_InputSize6000000-16      148 ±34%
_ZenQ_NumWriters100_InputSize6000000-16     68.3 ±24%
_Chan_NumWriters1000_InputSize7000000-16   1.79k ± 5%
_ZenQ_NumWriters1000_InputSize7000000-16    62.3 ±36%
_Chan_Million_Blocking_Writers-16          2.00M ± 0%
_ZenQ_Million_Blocking_Writers-16          1.00M ± 0%
